index,TemplateId,Id,MarkingCode,Code,Description,Layer,Pattern,Width,Scale,Color,RGB,Dash,Gap,CustomDash1,CustomGap1,CustomDash2,CustomGap2,CustomPhase,Reference,StandardClause,CustomProperties,SourceUrl
0,QCVN41_1_1,QCVN41_1_1,1.1,1.1,Vạch tim đường đứt nét - preset phổ thông 3m/6m,_1.VS_MARKING.1.1,CUSTOM_REAL,0.15,1.0,#FFFF00,"255,255,0",0,0,3.0,6.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.1 - Vạch 1.1,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LONGITUDINAL_DASHED"",""allowed"":{""width_m"":[0.15],""dash_m"":[1.0,3.0],""gap_m"":[2.0,6.0],""ratio"":""1:2""},""defaultReason"":""Chọn 3/6 m làm preset khởi tạo; dự án có thể giảm trong phạm vi QCVN.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
1,QCVN41_1_2,QCVN41_1_2,1.2,1.2,Vạch tim đường liền nét,_1.VS_MARKING.1.2,CUSTOM_REAL,0.15,1.0,#FFFF00,"255,255,0",0,0,1.0,0.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.1 - Vạch 1.2,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LONGITUDINAL_SOLID"",""continuousEquivalent"":true}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
2,QCVN41_1_3,QCVN41_1_3,1.3,1.3,Vạch 1.3 - vạch tim đường liền nét (template 1 nét; mặt cắt tự nhân đôi),_1.VS_MARKING.1.3,CUSTOM_REAL,0.15,1.0,#FFFF00,"255,255,0",0,0,1.0,0.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.1 - Vạch 1.3,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LONGITUDINAL_SOLID"",""continuousEquivalent"":true,""templateRepresentation"":""SINGLE_LINE"",""standardGeometry"":""DOUBLE_PARALLEL_SOLID"",""standardStripeWidth_m"":0.15,""standardInnerGapMin_m"":0.15,""standardInnerGapMax_m"":0.5,""presentationRule"":""DUPLICATE_ON_CROSS_SECTION"",""quantityRule"":""MANAGE_AS_SINGLE_TEMPLATE"",""note"":""Template chỉ lưu 1 nét liền rộng 0.15 m như vạch đơn thông thường. Vạch 1.3 theo QCVN là vạch đôi; khi trình bày mặt cắt, module trình bày tự nhân đôi. Khoảng cách phía trong giữa hai nét theo QCVN: 0.15-0.50 m, lựa chọn theo dự án.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
3,QCVN41_2_1,QCVN41_2_1,2.1,2.1,Vạch phân chia làn cùng chiều đứt nét - preset phổ thông 3m/9m,_1.VS_MARKING.2.1,CUSTOM_REAL,0.15,1.0,#FFFFFF,"255,255,255",0,0,3.0,9.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.2 - Vạch 2.1,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LONGITUDINAL_DASHED"",""allowed"":{""width_m"":[0.15],""dash_m"":[1.0,3.0],""gap_m"":[3.0,9.0],""ratio"":""1:3""},""defaultReason"":""Chọn 3/9 m làm preset khởi tạo; dự án có thể điều chỉnh theo tốc độ và điều kiện tuyến.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
4,QCVN41_2_2,QCVN41_2_2,2.2,2.2,Vạch phân chia làn cùng chiều liền nét,_1.VS_MARKING.2.2,CUSTOM_REAL,0.15,1.0,#FFFFFF,"255,255,255",0,0,1.0,0.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.2 - Vạch 2.2,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LONGITUDINAL_SOLID"",""continuousEquivalent"":true}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
5,QCVN41_3_1A,QCVN41_3_1A,3.1a,3.1a,Vạch giới hạn mép phần xe chạy liền nét - preset b=15cm,_1.VS_MARKING.3.1a,CUSTOM_REAL,0.15,1.0,#FFFFFF,"255,255,255",0,0,1.0,0.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.3 - Vạch 3.1a,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""EDGE_SOLID"",""continuousEquivalent"":true,""allowed"":{""width_m"":[0.15,0.2]},""defaultReason"":""Chọn b=15 cm làm preset phổ thông; 20 cm chỉnh theo dự án.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
6,QCVN41_3_1B,QCVN41_3_1B,3.1b,3.1b,"Vạch giới hạn mép phần xe chạy đứt nét - 0.6m/0.6m, b=15cm",_1.VS_MARKING.3.1b,CUSTOM_REAL,0.15,1.0,#FFFFFF,"255,255,255",0,0,0.6,0.6,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.3 - Vạch 3.1b,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""EDGE_DASHED"",""allowed"":{""width_m"":[0.15,0.2],""dash_m"":[0.6],""gap_m"":[0.6]},""defaultReason"":""Chọn b=15 cm; nhịp 0.6/0.6 m theo QCVN.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
7,QCVN41_3_2,QCVN41_3_2,3.2,3.2,Vạch liền phân cách làn cơ bản/làn chuyển tốc - preset đường thông thường b=30cm,_1.VS_MARKING.3.2,CUSTOM_REAL,0.3,1.0,#FFFFFF,"255,255,255",0,0,1.0,0.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.3 - Vạch 3.2,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LANE_TRANSITION_SOLID"",""continuousEquivalent"":true,""allowed"":{""width_normal_m"":0.3,""width_expressway_m"":0.45},""defaultReason"":""Chọn 30 cm cho đường thông thường; cao tốc đổi 45 cm theo dự án.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
8,QCVN41_3_3,QCVN41_3_3,3.3,3.3,"Vạch đứt phân cách làn cơ bản/làn chuyển tốc - preset 3m/3m, b=30cm",_1.VS_MARKING.3.3,CUSTOM_REAL,0.3,1.0,#FFFFFF,"255,255,255",0,0,3.0,3.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.3 - Vạch 3.3,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""LANE_TRANSITION_DASHED"",""allowed"":{""width_normal_m"":0.3,""width_expressway_m"":0.45,""dash_m"":[1.0,3.0],""gap_m"":[1.0,3.0],""ratio"":""1:1""},""defaultReason"":""Chọn 3/3 m, b=30 cm; cao tốc/điều kiện khác chỉnh theo dự án.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
9,QCVN41_3_4,QCVN41_3_4,3.4,3.4,Vạch chuyển tiếp/cảnh báo trước vạch liền - preset 3m/1m,_1.VS_MARKING.3.4,CUSTOM_REAL,0.15,1.0,#FFFFFF,"255,255,255",0,0,3.0,1.0,0,0,0,QCVN 41:2024/BGTVT - Phụ lục G,G1.3 - Vạch 3.4,"{""preset"":""COMMON_DEFAULT"",""projectAdjustable"":true,""idRole"":""TEMPLATE_ONLY"",""source"":""QCVN41_2024"",""geometryType"":""TRANSITION_WARNING_DASHED"",""allowed"":{""dash_m"":[3.0,6.0],""gap_m"":[1.0,2.0],""ratio"":""3:1"",""width_rule"":""Theo vạch 1.2 hoặc 2.2""},""defaultReason"":""Chọn 3/1 m làm preset phổ thông; dự án tăng đến 6/2 m khi cần.""}",https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/11/43387/53155-1-20241363-136451-2024-tt-bgtvt.pdf
